doi,title,year,cluster,topic_label
10.1109/isee.2006.1650079,Feedstock Recycling Technologies in the Sustainable Recycling of Plastics from End-ofLife Electrical and Electronic Products,2006,7,"marine debris, metric tons, human health, u s"
10.1002/pat.915,Properties and morphology of recycled poly(ethylene terephthalate)/bisphenol a polycarbonate/poly(styrene‐b‐(ethylene‐co‐butylene)‐b‐styrene) blends by low‐temperature solid‐state extrusion,2007,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.30638/eemj.2009.142,CARBON DIOXIDE EMISSION ASSOCIATED WITH THE PRODUCTION OF PLASTICS - A COMPARISON OF PRODUCTION FROM CRUDE OIL AND RECYCLING FOR THE DUTCH CASE,2009,7,"marine debris, metric tons, human health, u s"
10.1109/icip.2013.6738651,Probabilistic white strip approach to plastic bottle sorting system,2013,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1061/9780784412787.174,Performance Evaluation of a Slope Reinforced with Recycled Plastic Pin,2013,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1061/9780784412848.143,"Voided ""Two-Way"" Flat Slabs",2013,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.4028/www.scientific.net/amr.1064.3,Deterioration of Mortar Composites in Acidic Environment,2014,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1080/09593330.2015.1098732,Inactivation ofEscherichia coliin a baffled pond with attached growth: treating anaerobic effluent under the Sahelian climate,2015,7,"marine debris, metric tons, human health, u s"
10.1109/egg.2016.7829830,Recovery of bromine and antimony from WEEE plastics,2016,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1051/e3sconf/20161000066,Performance of sand-lime products made with plastic waste,2016,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3844/ajassp.2017.878.885,Fabrication and Mechanical Properties of Glass Fiber/Talc/CaCO&lt;sub&gt;3&lt;/sub&gt; Filled Recycled PP Composites,2017,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/su16187966,Large-Format Material Extrusion Additive Manufacturing for Circular Economy Practices: A Focus on Product Applications with Materials from Recycled Plastics and Biomass Waste,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.1002/pen.26689,Mechanical and crystallization properties of hot runner injection molded virgin and recycled polypropylene,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1021/acssusresmgt.4c00235,Challenges and Opportunities in China’s Journey in the Recycling of Plastic Wastes,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.1039/d4gc02594f,What to do with Polyurethane waste? - The environmental potential of chemically recycling Polyurethane rigid foam,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.31635/ccschem.024.202404046,Amyloid-Like Protein Coating as a Barrier Against Plasticizer Leaching,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/catal15020147,"Protein Engineering for Industrial Biocatalysis: Principles, Approaches, and Lessons from Engineered PETases",2025,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.4c09354,In Situ Enhancive and Closed-Loop Chemical Recyclable High-Performance Aromatic Polyamides from Lignin-Derived Ferulic Acid,2025,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/jacs.4c16325,Designing Polymers with Molecular Weight Distribution-Based Machine Learning,2025,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1016/j.jclepro.2022.133891,Thermochemical recycling of plastics – Modeling the implications for the electricity system,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/ma15175910,Analysis of Statistically Predicted Rate Constants for Pyrolysis of High-Density Plastic Using R Software,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3934/ctr.2022010,Design of a hybrid high-throughput fused deposition modeling system for circular economy applications,2022,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.9734/arjom/2022/v18i530378,An Improved Two-states Cyclical Dynamic Model for Plastic Waste Management,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.1021/acs.jchemed.2c00374,Engaging Preuniversity Students in Sustainability and Life Cycle Assessment in Upper-Secondary Chemistry Education: The Case of Polylactic Acid (PLA),2022,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1016/j.jer.2023.11.007,An integrated SWARA-QFD under Fermatean fuzzy set approach to assess proactive risk mitigation strategies in recycling supply chain: Case study of plastic recycling industry,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.1016/j.wasman.2023.05.054,Evaluation of thermal drying for the recycling of flexible plastics,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1007/s43615-023-00306-w,Towards a Low-Carbon Plastic Waste Recycling in Finland: Evaluating the Impacts of Improvement Measures on GHG Emissions,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/ma16031198,Assessment of the Impact of Superficial Contamination and Thermo-Oxidative Degradation on the Properties of Post-Consumer Recycled Polypropylene,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1080/23311916.2023.2243735,Mechanical properties of concrete using different types of recycled plastic as an aggregate replacement,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1177/09544089221150677,"Thermal, structural, and morphological examination of mercerized coir fiber–reinforced composites",2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1177/07316844231171328,Agricultural-waste <i>Sesamum indicum L.</i>/recycled-low density polyethylene bio-composites: Impact of gamma radiation on mechanical and thermal properties,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1039/d3ra04679f,Low-carbon footprint diluents in solvent extraction for lithium-ion battery recycling,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3389/fsufs.2023.1140295,"Drivers, advances, and significance of measures for effective circular food packaging",2023,7,"marine debris, metric tons, human health, u s"
10.3390/su152115187,Using STEM to Educate Engineers about Sustainability: A Case Study in Mechatronics Teaching and Building a Mobile Robot Using Upcycled and Recycled Materials,2023,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.3390/app13148141,Thermochemical and Kinetic Analysis of Combustion of Plastic Wastes and Their Blends with Lignite,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/adfm.202409422,Triboelectric Nanogenerators Using Recycled Disposable Medical Masks for Water Wave Energy Harvesting,2024,7,"marine debris, metric tons, human health, u s"
10.1016/j.heliyon.2024.e28375,Unveiling the data: An analysis of plastic waste with emphasis on the countries of the E³UDRES2 alliance,2024,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1021/acssuschemeng.4c04241,Environmental Benefits of Circular Ethylene Production from Polymer Waste,2024,7,"marine debris, metric tons, human health, u s"
10.3390/catal14030212,Research Progress in Fuel Oil Production by Catalytic Pyrolysis Technologies of Waste Plastics,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1038/s41598-024-78107-w,Impact of plastic waste fiber and treated construction demolition waste on the durability and sustainability of concrete,2024,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/su142315557,Recycling of Post-Use Bioprocessing Plastic Containers—Mechanical Recycling Technical Feasibility,2022,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1680/jwarm.21.00013,Using recycled plastic waste to improve the performance of hot-mix asphalt,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.2478/cee-2022-0049,Contextual Design of Road Traffic Noise Reducing Devices,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.1016/j.eng.2021.12.009,Reactive Extrusion (REx): Using Chemistry and Engineering to Solve the Problem of Ocean Plastics,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1080/10916466.2022.2052092,Using response surface methodology to optimize rubber and LDPE contents in bitumen at low-temperature performance,2022,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/polym14142806,Evaluation of the Effect of Recycled Polypropylene as Fine Aggregate Replacement on the Strength Performance and Chloride Penetration of Mortars,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1061/(asce)mt.1943-5533.0004318,Investigative Studies on Recycled High-Density Polyethylene and Polypropylene Pellets for Stabilization of Kaolinite Rich Soils,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.12775/eip.2022.003,Resource (in)efficiency in the EU: a case of plastic waste,2022,7,"marine debris, metric tons, human health, u s"
10.1002/mren.202200037,Life Cycle Assessment of the Catalytic Pyrolysis of High‐Density Polyethylene (HDPE) and High‐Impact Polystyrene (HIPS),2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0734242x221080084,Fe-POM/attapulgite composite materials: Efficient catalysts for plastic pyrolysis,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/polym15112580,Effect of Recycled Polyvinyl Butyral (rPVB) Addition on the Tribological Performance of Glass–Fiber Reinforced Polyamide (PAGF) during Reciprocating Sliding Wear Conditions,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1111/jiec.13433,Transforming existing local ecosystems to circular economy ecosystems for plastics: The case of the PlastiCity ecosystem,2023,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.3390/vehicles5030067,Exergy Assessment of Plastic Car Parts,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/ange.202308930,Integrated Photochromic‐Photothermal Processes for Catalytic Plastic Upcycling,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/smsc.202300096,Excavating the Potential of Photo‐ and Electroupcycling Platforms Toward a Sustainable Future for Waste Plastics,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/polym15030613,Effect of Gamma Radiation on the Processability of New and Recycled PA-6 Polymers,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1088/1755-1315/1210/1/012016,Recycling Plastic Waste into Construction Materials for Sustainability,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/su15075640,Experimental and Numerical Investigation of the Flexural Behavior of Mortar Beams Strengthened with Recycled Plastic Mesh,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/buildings13040893,Multi-Objective Taguchi Optimization of Cement Concrete Incorporating Recycled Mixed Plastic Fine Aggregate Using Modified Fuller’s Equation,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.31272/jeasd.27.4.2,INVESTIGATION OF THE MECHANICAL PERFORMANCE OF STONE MASTIC ASPHALT MIXTURES MODIFIED BY RECYCLED WASTE POLYMERS,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1016/j.cscm.2023.e02177,Recycled polyethylene waste as binder stabilizer for SMA mix in gulf environment,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1021/acssuschemeng.3c00990,Recycled Polymers As a Feedstock for Chemical Manufacturing Supply Chains in the United States: A Network Analysis for Polyethylene Pyrolysis,2023,7,"marine debris, metric tons, human health, u s"
10.3390/polym15153161,Special Packaging Materials from Recycled PET and Metallic Nano-Powders,2023,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1016/j.procir.2023.09.180,An overview of polymer identification techniques in recycling plants with focus on current and future challenges,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.heliyon.2024.e38185,Achieving the sustainable waste management of medical plastic packaging using a life cycle assessment approach,2024,7,"marine debris, metric tons, human health, u s"
10.1002/app.55506,Evaluation of <scp>PET</scp> recyclability and characterization of modified <scp>reprocessed‐PET</scp> for industrial application,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1016/j.eist.2024.100811,Legitimising technologies for a circular economy: Contested discourses on innovation for plastics recycling in Europe,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/polym16101343,Review and Assessment of Existing and Future Techniques for Traceability with Particular Focus on Applicability to ABS Plastics,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/polym16101420,How the Digital Product Passport Can Lead the Plastics Industry towards a Circular Economy—A Case Study from Bottle Caps to Frisbees,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.1021/acs.jcim.4c00776,Influence of Wobbling Tryptophan and Mutations on PET Degradation Explored by QM/MM Free Energy Calculations,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1080/03602558208067719,An Overview of Plastics Recycling,1982,7,"marine debris, metric tons, human health, u s"
10.5006/c1991-91555,Cathodic Protection Using Scrap and Recycled Materials,1991,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1002/masy.19920570119,Radlite™: A new technology for comingled plastics,1992,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1080/00914039408029351,Recycled Thermoplastic–Woodflour Composites,1994,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/pts.2770080503,Effect of functional barrier thickness for a food package with recycled polymer,1995,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3141/1670-07,Noise Barriers Using Recycled-Plastic Lumber,1999,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1080/03602559909351596,Conversion of Recycled Polymers/Fibers Into Melt-Blown Nonwovens,1999,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1179/cmq.2005.44.3.339,BUILDING MATERIAL FROM WASTE,2005,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.2324/gomu.81.388,Present State of Plastic Recycling in Japan,2008,6,"supply chain, climate change, environmental impacts, value chain"
10.1177/0734242x13476748,Selective flotation of PVC using gelatin and lignin alkali,2013,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1155/2013/824562,Improving the Performance of Reprocessed ABS Products from the Manufacturing Perspective via the Taguchi Method,2013,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/app5041699,Feasibility Study of Sensor Aided Impact Acoustic Sorting of Plastic Materials from End-of-Life Vehicles (ELVs),2015,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1177/0954409716647094,"Evaluation of the longitudinal restraint, uplift resistance, and long-term performance of high-density polyethylene crosstie rail support system using static and cyclic loading",2016,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.4172/2252-5211.1000258,"Analysis on the Appropriate Model of a Community-Based Waste Management (Case of Rural Area in Karang Joang Village, Balikpapan, Indonesia)",2016,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.21013/jte.icsesd201705,Analysis of Housing Structures Made From Recycled Plastic,2017,6,"supply chain, climate change, environmental impacts, value chain"
10.1080/19440049.2017.1323277,Sensor array for the detection of organic and inorganic contaminants in post-consumer recycled plastics for food contact,2017,7,"marine debris, metric tons, human health, u s"
10.1109/icalt.2017.106,3D Printer FABLAB for Students at POLITEHNICA University Timisoara,2017,6,"supply chain, climate change, environmental impacts, value chain"
10.11118/actaun201765051655,Assessment of Selected Equipment by Method FTA,2017,6,"supply chain, climate change, environmental impacts, value chain"
10.4028/www.scientific.net/msf.936.116,Repetitive Implementation of Material Value Conservation and its Effects on the Mechanical Properties of Plastic Recycling Products,2018,7,"marine debris, metric tons, human health, u s"
10.4028/www.scientific.net/msf.936.110,Material Value Conservation: Development of Design Criteria for Rigid Plastic Packaging,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.22146/ajche.49556,Open Loop Recycling of Recycled Polypropylene for Motorcycle Saddle Application,2018,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.31033/ijemr.8.3.27,Improvement of Tensile Properties of Recycled Low-Density Polyethylene by Incorporation of Calcium Carbonate Particles,2018,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.7844/kirr.2019.28.6.3,Current Status of Plastic Recycling in Korea,2019,7,"marine debris, metric tons, human health, u s"
10.1002/masy.201900037,Influence of Label Impurities in Recycling on the Mechanical Properties of PC/ABS Materials,2019,7,"marine debris, metric tons, human health, u s"
10.21533/pen.v7i4.834,Optimization of water-cement ratio in concrete contains recycled polypropylene (PP) plastic waste,2019,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1088/2631-6331/ab1374,Evaluation of mechanical/dynamic properties of polyetherimide recycled polymer concrete for reducing rail slab noise,2019,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.30564/jbmr.v1i1.1204,Feasibility Study on Use of Plastic Waste as Fine Aggregate in Concrete Mixes,2019,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1021/acsami.9b09426,"Sustainable, Reshapable Surfactant–Polyelectrolyte Plastics Employing Water as a Plasticizer",2019,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1051/e3sconf/202016101101,The main obstacles for development of international activity with Russian-European chemical clusters: environmental aspect,2020,6,"supply chain, climate change, environmental impacts, value chain"
10.1016/j.heliyon.2020.e04166,Experimental and statistical study of the effect of temperature and waste ratio on the mechanical properties and cost of polystyrene polypropylene plastic blends,2020,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.4028/www.scientific.net/msf.1015.76,Mechanical Properties Improvement of Recycled Polypropylene with Material Value Conservation Schemes Using Virgin Plastic Blends,2020,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.4028/www.scientific.net/msf.981.132,Preparation and Characterization of Bio-Degradable Plastic from Banana <i>Kepok</i> Peel Waste,2020,7,"marine debris, metric tons, human health, u s"
10.2478/acmy-2021-0004,"Microplastics: Holistic overview of source, identification, interaction, health and environmental implications and strategies of abatement",2020,7,"marine debris, metric tons, human health, u s"
10.1080/00049530.2021.2002125,Applying temporal self-regulation theory to identify correlates of soft plastic recycling in Australia,2021,7,"marine debris, metric tons, human health, u s"
10.3390/polym13091432,Triggerable Super Absorbent Polymers for Coating Debonding Applications,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.4028/www.scientific.net/kem.889.15,An Environmentally Friendly Recycled-Polyethylene Composite Reinforced by Diatomaceous Earth and Wood Fiber,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.23919/splitech52315.2021.9566351,Plastic Waste Categorisation using Machine Learning Methods-Metals Contaminations,2021,7,"marine debris, metric tons, human health, u s"
10.22034/gjesm.2021.04.09,Characteristics and combustion kinetics of fuel pellets composed of waste of polyethylene terephthalate and biomass,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/app11178102,Pollutant Potential of Reinforced Concrete Made with Recycled Plastic Fibres from Food Packaging Waste,2021,7,"marine debris, metric tons, human health, u s"
10.3390/en14071986,Impact of Carbon Tax Increase on Product Prices in Japan,2021,6,"supply chain, climate change, environmental impacts, value chain"
10.6036/10102,IDENTIFICATION OF BIODEGRADABLE POLYMERS AS CONTAMINANTS IN THE THERMOPLASTICS RECYCLING PROCESS,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1088/1757-899x/1087/1/012073,Thermal conductivity of rice straw polypropylene particleboard,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1108/rjta-06-2020-0061,Utilization of recycled polyester nonwovens as sorbent for oil spill cleanups,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/app11041707,Development of Tensile Properties and Crystalline Conformation of Recycled Polypropylene by Re-Extrusion Using a Twin-Screw Extruder with an Additional Molten Resin Reservoir Unit,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1155/2021/6692133,Investigation of the Large-Scale Pallet by Recycled Polypropylene and the Sequential Valve Gate System during the Injection Molding,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1021/cen-09902-cover7,Europe is implementing a tax on plastic,2021,7,"marine debris, metric tons, human health, u s"
10.20965/ijat.2022.p0831,An Analysis of Practices and Challenges for Plastic Recycling Industry in Malaysia,2022,7,"marine debris, metric tons, human health, u s"
10.1016/j.wse.2022.06.002,Seepage behavior of soil mixed with randomly distributed recycled plastic materials,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1007/s10098-024-02818-x,Cascadic degradation of selected polyolefin grades in a simulated closed-loop recycling process,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.37349/eff.2024.00060,Future trends in Food Science and Foodomics: a perspective view by the Editorial Team of Exploration of Foods and Foodomics,2024,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1021/acsapm.4c01453,PVC Modification through Sequential Dehydrochlorination–Hydrogenation Reaction Cycles Facilitated <i>via</i> Fractionation by Green Solvents,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1126/sciadv.adl0568,"Magnetic resonance insights into the heterogeneous, fractal-like kinetics of chemically recyclable polymers",2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1080/19397038.2024.2409162,Chemical recycling: comprehensive overview of methods and technologies,2024,7,"marine debris, metric tons, human health, u s"
10.1021/acssusresmgt.3c00137,Fine Regeneration of ABS and PS Plastics from Waste Refrigerators through Mechanical Physical Recycling,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/ange.202420688,Solvent‐Free Chemical Recycling of Polyesters and Polycarbonates by Magnesium‐Based Lewis Acid Catalyst,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/su17020764,Circular Economy Solutions: The Role of Thermoplastic Waste in Material Innovation,2025,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/eem2.12884,Recycling Polyvinyl Chloride (<scp>PVC</scp>) Pipe Wastes into <scp>PVC</scp>/<scp>ZnO</scp> Nanofiber‐Based Triboelectric Nanogenerators,2025,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.4c08648,Electrochemically Mediated Alkaline Hydrolysis and Methanolysis of Poly(ethylene terephthalate) (PET),2025,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.jclepro.2024.140561,Dynamics in the evolution of circular sourcing strategies: Evidence from German frontrunners sourcing for recycled plastics,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.1177/03611981241245674,Life Cycle Assessment for the Use of Waste Plastics in Asphalt Concrete Mixes,2024,7,"marine debris, metric tons, human health, u s"
10.1016/j.jclepro.2024.142571,"Volatile organic contaminants in HDPE milk bottles along the mechanical recycling value chain, revealing origins and contamination pathways",2024,7,"marine debris, metric tons, human health, u s"
10.1021/cbe.4c00032,Usefulness of Lumped Kinetic Modeling,2024,6,"supply chain, climate change, environmental impacts, value chain"
10.1021/cbe.4c00125,Design of Plastic Binding Lytic Polysaccharide Monooxygenases via Modular Engineering,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/wer.11018,Highly effective ultrafiltration membranes based on plastic waste for dye removal from water,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.21595/mme.2023.23630,Optimizing mechanical properties of virgin and recycled PLA components using Anova and neural networks,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/adsu.202500003,"Reductive Upcycling of Polyolefins, Polyesters and Mixed Plastic Wastes to Valuable Chemicals: Bridging Chemical Catalysis With Plastic Waste Management",2025,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/j.1538-7305.1995.tb00266.x,Designing with Plastics: Considering Part Recyclability and the Use of Recycled Materials,1995,7,"marine debris, metric tons, human health, u s"
10.1021/cen-v074n045.p019,RECYCLING'S ROUGH ADOLESCENCE,1996,7,"marine debris, metric tons, human health, u s"
10.31399/asm.cp.itsc1996p0221,The Mechanical Properties of Combustion-Sprayed Polymers and Blends,1996,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1109/isee.2001.924504,Stakeholder Dialogues on recycling engineering thermoplastics: a collaborative effort to build a recycling infrastructure for plastics from electronics,2002,6,"supply chain, climate change, environmental impacts, value chain"
10.1111/j.1600-0692.2005.00746.x,Steel research and development in the aspect for a sustainable society,2005,6,"supply chain, climate change, environmental impacts, value chain"
10.1002/srin.200506079,The Combustion Efficiencies of the Waste Plastics as Supplemental Fuel for Blast Furnace,2005,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1061/40971(310)133,Improving the Tensile Strength and Toughness of a Soil-Cement-Fly Ash Pavement Subgrade with Recycled HDPE Strips,2008,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.24266/0738-2898-28.4.239,Investigating Consumer Preference for Biodegradable Containers,2010,7,"marine debris, metric tons, human health, u s"
10.2174/1876400201003010127,Simulation of Magnetic Fluid Applied to Plastic Sorting,2010,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.12989/mwt.2010.1.4.231,Mercury recovery from aqueous solutions by polymer-enhanced ultrafiltration using a sulfate derivative of chitosan,2010,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1590/s0104-14282012005000071,Influence of Reprocessing in the formation of functional groups during low density polyethylene aging,2012,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.5120/17699-8675,Intelligent Model for Manual Sorting of Plastic Wastes,2014,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/app.44159,Recycling of ultrahigh molecular weight polyethylene waste used for preparing high performance synthetic paper,2016,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1177/147776061703300301,Mechanical and Damping Properties of Wood Plastic Composite Modified by Ground Waste Rubber Tire,2017,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.5937/sjem1802001l,A new recycling paradigm: An innovative approach to the plastic waste recycling in Serbia,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.1007/s10163-022-01406-9,"Circular economy for durable products and materials: the recycling of plastic building products in Germany—status quo, potentials and recommendations",2022,6,"supply chain, climate change, environmental impacts, value chain"
10.1177/03611981221078844,Demonstration Project for Ground Tire Rubber and Post-Consumer Recycled Plastic-Modified Asphalt Mixtures,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/polym14030616,Feasibility Study of the Flatness of a Plastic Injection Molded Pallet by a Newly Proposed Sequential Valve Gate System,2022,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/asia.202201133,Evaluating <i>Trans</i>‐Benzocyclobutene‐Fused Cyclooctene as a Monomer for Chemically Recyclable Polymer,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1007/s10973-022-11505-2,Recycling of metallocene isotactic polypropylene: importance of antioxidants,2022,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/catal12101193,The Contribution of Commercial Metal Amides to the Chemical Recycling of Waste Polyesters,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/07349041231199894,Literature review and hazard identification relating to fire safety in commercial plastic recycling facilities,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.1016/j.scitotenv.2023.163388,SBBGR technology for reducing waste sludge production during plastic recycling process: Assessment of potential increase in sludge hazardousness,2023,7,"marine debris, metric tons, human health, u s"
10.54536/ajec.v2i3.1868,"Assessment of Policy Guidelines, Strategies, and Operational Processes Associated with Plastic Waste Management in Ghana",2023,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.18280/acsm.470306,Evaluation of Some Beneficial Environmental Impacts and Enhanced Thermal Properties Resulting from Waste Plastic Integration into Concrete,2023,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1016/j.socimp.2023.100003,Marine pollution after the MV X-Press Pearl maritime disaster: Societal impacts based on research outcomes,2023,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1016/j.chemosphere.2023.141069,Application of chemometric tools in the QSAR development of VOC removal in plastic waste recycling,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
